"","i","effect_size","rho_predictors","n","causal_struc","shap_time","megashap_time","ji_shap","ji_mshap","cor_shap","cor_mshap"
"1",1,0.210578782344327,0.494061717895055,1600,"suppression",1.93117594718933,0.222084045410156,0.666666666666667,0.666666666666667,0.84312488621192,0.842305199869578
"2",2,0.366394083623302,0.636364009199597,1600,"cond_imp",1.79290819168091,0.196440935134888,0.666666666666667,0.666666666666667,0.718254274273096,0.709264925238685
"3",3,0.45263186854949,0.0555328629796476,1600,"suppression",1.7744140625,0.196694850921631,1,1,0.762272291177978,0.753345286757166
"4",4,0.338297291418034,0.508733132019754,800,"local_only",1.15939402580261,0.161366939544678,0.666666666666667,0.666666666666667,0.95275885398138,0.935098777964023
"5",5,0.229406875352522,0.674393922992501,100,"interaction",0.782826900482178,0.139446020126343,0.666666666666667,0.666666666666667,0.704358623743419,0.707478827437271
"6",6,0.491824642871396,0.650285092079849,100,"signal_diff",0.781148910522461,0.139286994934082,0.428571428571429,0.428571428571429,0.52178486631132,0.507671033853412
"7",7,0.323148278522967,0.470552414370445,400,"multiplicative",1.03925490379333,0.148571968078613,0.666666666666667,0.666666666666667,0.753433321708467,0.738181128067267
"8",8,0.591634941394457,0.287606419302089,800,"cond_imp",1.30752301216125,0.16728401184082,0.666666666666667,0.666666666666667,0.866007331768926,0.869036413822778
"9",9,0.0900809238983393,0.562738098448497,100,"linear",0.785653829574585,0.141101121902466,0.428571428571429,0.428571428571429,0.543389817533653,0.509989817697359
"10",10,0.152903730143787,0.406198572690902,400,"linear",0.9167640209198,0.146118879318237,0.666666666666667,0.666666666666667,0.523061320306992,0.529426419159969
"11",11,0.252509282092082,0.340334510428267,1600,"signal_diff",1.66653800010681,0.187271118164062,0.428571428571429,0.428571428571429,0.961334290787159,0.962824842429344
"12",12,0.307966879349461,0.793461275622236,200,"multiplicative",0.813644170761108,0.137198925018311,1,1,0.837532312414493,0.844913746743481
"13",13,0.0512544633496852,0.773891258907826,1600,"local_only",1.77539896965027,0.19486403465271,0.666666666666667,0.666666666666667,0.923955443718133,0.924134064024128
